0x8000041c:addi   ra,zero,0x066       ra=0x00000000+0x00000066=0x00000066
0x80000420:addi   sp,zero,0x003       sp=0x00000000+0x00000003=0x00000003
0x80000424:remu   t4,ra,sp            t4=0x00000066%0x00000003=0x00000000
0x80000428:addi   ra,zero,0x067       ra=0x00000000+0x00000067=0x00000067
0x8000042c:addi   sp,zero,0x004       sp=0x00000000+0x00000004=0x00000004
0x80000430:remu   t5,ra,sp            t5=0x00000067%0x00000004=0x00000003
0x80000434:addi   ra,zero,0x068       ra=0x00000000+0x00000068=0x00000068
0x80000438:addi   sp,zero,0x005       sp=0x00000000+0x00000005=0x00000005
0x8000043c:remu   gp,ra,sp            gp=0x00000068%0x00000005=0x00000004
0x80000440:addi   ra,zero,0x069       ra=0x00000000+0x00000069=0x00000069
0x80000444:addi   sp,zero,0x006       sp=0x00000000+0x00000006=0x00000006
0x80000448:remu   tp,ra,sp            tp=0x00000069%0x00000006=0x00000003
0x8000044c:addi   ra,zero,0x06a       ra=0x00000000+0x0000006a=0x0000006a
0x80000450:addi   sp,zero,0x007       sp=0x00000000+0x00000007=0x00000007
0x80000454:remu   t0,ra,sp            t0=0x0000006a%0x00000007=0x00000001
0x80000458:addi   ra,zero,0x06b       ra=0x00000000+0x0000006b=0x0000006b
0x8000045c:addi   sp,zero,0x008       sp=0x00000000+0x00000008=0x00000008
0x80000460:remu   t1,ra,sp            t1=0x0000006b%0x00000008=0x00000003
0x80000464:addi   t0,t1,0x003         t0=0x00000003+0x00000003=0x00000006
0x80000468:addi   t2,s0,0x006         t2=0x00000011+0x00000006=0x00000017
0x8000046c:addi   s1,a0,0x009         s1=0x0000000d+0x00000009=0x00000016
0x80000470:addi   a1,a2,0x00c         a1=0x00000032+0x0000000c=0x0000003e
0x80000474:addi   a3,a4,0x00f         a3=0x00000019+0x0000000f=0x00000028
0x80000478:addi   a5,a6,0x012         a5=0x00000011+0x00000012=0x00000023
0x8000047c:addi   a7,s2,0x015         a7=0x0000000d+0x00000015=0x00000022
0x80000480:addi   s3,s4,0x018         s3=0x00000001+0x00000018=0x00000019
0x80000484:slti   s5,s6,0x003         s5=(0x00000003<0x00000003)=0
0x80000488:slti   s7,s8,0x006         s7=(0x00000003<0x00000006)=1
0x8000048c:slti   s9,s10,0x009        s9=(0x00000003<0x00000009)=1
0x80000490:slti   s11,t3,0x00c        s11=(0x00000001<0x0000000c)=1
0x80000494:slti   t4,t5,0x00f         t4=(0x00000003<0x0000000f)=1
0x80000498:slti   t6,zero,0x012       t6=(0x00000000<0x00000012)=1
0x8000049c:slti   ra,sp,0x015         ra=(0x00000008<0x00000015)=1
0x800004a0:slti   gp,tp,0x018         gp=(0x00000003<0x00000018)=1
0x800004a4:sltiu  t0,t1,0x003         t0=(0x00000003<0x00000003)=0
0x800004a8:sltiu  t2,s0,0x006         t2=(0x00000011<0x00000006)=0
0x800004ac:sltiu  s1,a0,0x009         s1=(0x0000000d<0x00000009)=0
0x800004b0:sltiu  a1,a2,0x00c         a1=(0x00000032<0x0000000c)=0
0x800004b4:sltiu  a3,a4,0x00f         a3=(0x00000019<0x0000000f)=0
0x800004b8:sltiu  a5,a6,0x012         a5=(0x00000011<0x00000012)=1
0x800004bc:sltiu  a7,s2,0x015         a7=(0x0000000d<0x00000015)=1
0x800004c0:sltiu  s3,s4,0x018         s3=(0x00000001<0x00000018)=1
0x800004c4:xori   s5,s6,0x003         s5=0x00000003^0x00000003=0x00000000
0x800004c8:xori   s7,s8,0x006         s7=0x00000003^0x00000006=0x00000005
0x800004cc:xori   s9,s10,0x009        s9=0x00000003^0x00000009=0x0000000a
0x800004d0:xori   s11,t3,0x00c        s11=0x00000001^0x0000000c=0x0000000d
0x800004d4:xori   t4,t5,0x00f         t4=0x00000003^0x0000000f=0x0000000c
0x800004d8:xori   t6,zero,0x012       t6=0x00000000^0x00000012=0x00000012
0x800004dc:xori   ra,sp,0x015         ra=0x00000008^0x00000015=0x0000001d
0x800004e0:xori   gp,tp,0x018         gp=0x00000003^0x00000018=0x0000001b
0x800004e4:ori    t0,t1,0x003         t0=0x00000003|0x00000003=0x00000003
0x800004e8:ori    t2,s0,0x006         t2=0x00000011|0x00000006=0x00000017
0x800004ec:ori    s1,a0,0x009         s1=0x0000000d|0x00000009=0x0000000d
0x800004f0:ori    a1,a2,0x00c         a1=0x00000032|0x0000000c=0x0000003e
0x800004f4:ori    a3,a4,0x00f         a3=0x00000019|0x0000000f=0x0000001f
0x800004f8:ori    a5,a6,0x012         a5=0x00000011|0x00000012=0x00000013
0x800004fc:ori    a7,s2,0x015         a7=0x0000000d|0x00000015=0x0000001d
0x80000500:ori    s3,s4,0x018         s3=0x00000001|0x00000018=0x00000019
0x80000504:andi   s5,s6,0x003         s5=0x00000003&0x00000003=0x00000003
0x80000508:andi   s7,s8,0x006         s7=0x00000003&0x00000006=0x00000002
0x8000050c:andi   s9,s10,0x009        s9=0x00000003&0x00000009=0x00000001
0x80000510:andi   s11,t3,0x00c        s11=0x00000001&0x0000000c=0x00000000
0x80000514:andi   t4,t5,0x00f         t4=0x00000003&0x0000000f=0x00000003
0x80000518:andi   t6,zero,0x012       t6=0x00000000&0x00000012=0x00000000
0x8000051c:andi   ra,sp,0x015         ra=0x00000008&0x00000015=0x00000000
0x80000520:andi   gp,tp,0x018         gp=0x00000003&0x00000018=0x00000000
0x80000524:slli   t2,s0,1             t2=0x00000011<<1=0x00000022
0x80000528:slli   a1,a2,2             a1=0x00000032<<2=0x000000c8
0x8000052c:slli   a5,a6,3             a5=0x00000011<<3=0x00000088
0x80000530:slli   s3,s4,4             s3=0x00000001<<4=0x00000010
0x80000534:slli   s7,s8,5             s7=0x00000003<<5=0x00000060
